4.5;2.4;36.0;11.9;:1;
1.1;1.6;9.0;5.7;:0;
4.5;2.4;36.0;13.1;:1;
2.3;1.5;18.0;1.7;:0;
4.5;2.4;36.0;14.6;:1;
3.4;2.3;27.0;7.0;:0;
4.5;2.4;36.0;14.6;:1;
2.4;2.1;19.0;12.4;:0;
4.5;2.4;36.0;11.6;:1;
2.0;1.9;16.0;9.1;:0;
4.5;2.4;36.0;12.3;:1;
2.6;2.2;21.0;9.3;:0;
4.5;2.4;36.0;13.3;:1;
2.4;1.7;19.0;6.4;:0;
4.5;2.4;36.0;18.7;:1;
3.4;2.3;27.0;11.1;:0;
4.5;2.4;36.0;10.1;:1;
3.8;2.7;30.0;12.4;:0;
4.5;2.4;36.0;12.6;:1;
1.6;1.7;13.0;6.6;:0;
4.5;2.4;36.0;15.6;:1;
2.6;2.4;21.0;15.1;:0;
4.5;2.4;36.0;12.3;:1;
3.5;3.0;28.0;6.7;:0;
4.5;2.4;36.0;13.9;:1;
3.0;2.4;24.0;11.3;:0;
4.5;2.4;36.0;21.0;:1;
4.6;2.3;37.0;9.7;:0;
4.5;2.4;36.0;14.6;:1;
2.8;2.1;22.0;11.9;:0;
4.5;2.4;36.0;13.9;:1;
2.9;2.2;23.0;11.7;:0;
4.5;2.4;36.0;16.4;:1;
3.0;2.5;24.0;19.3;:0;
4.5;2.4;36.0;19.6;:1;
4.3;2.4;34.0;8.6;:0;
4.5;2.4;36.0;17.1;:1;
2.6;2.4;21.0;10.3;:0;
4.5;2.4;36.0;19.3;:1;
2.8;2.3;22.0;10.3;:0;
4.5;2.4;36.0;15.6;:1;
2.8;2.6;22.0;8.3;:0;
4.5;2.4;36.0;14.6;:1;
2.6;2.2;21.0;6.3;:0;
4.5;2.4;36.0;13.3;:1;
1.0;0.0;8.0;0.0;:0;
4.5;2.4;36.0;15.9;:1;
3.6;2.8;29.0;6.6;:0;
4.5;2.4;36.0;14.6;:1;
3.6;2.4;29.0;6.0;:0;
4.5;2.4;36.0;16.4;:1;
2.9;2.9;23.0;18.1;:0;
4.5;2.4;36.0;15.7;:1;
2.1;1.6;17.0;5.7;:0;
4.5;2.4;36.0;19.4;:1;
3.5;2.7;28.0;12.0;:0;
4.5;2.4;36.0;17.1;:1;
2.9;2.9;23.0;22.0;:0;
4.5;2.4;36.0;12.6;:1;
3.8;2.6;30.0;11.4;:0;
4.5;2.4;36.0;10.1;:1;
4.1;3.0;33.0;12.9;:0;
4.5;2.4;36.0;17.6;:1;
3.6;2.6;29.0;12.7;:0;
4.5;2.4;36.0;11.9;:1;
4.0;3.1;32.0;21.9;:0;
4.5;2.4;36.0;15.9;:1;
3.4;2.1;27.0;10.6;:0;
4.5;2.4;36.0;14.6;:1;
3.9;2.2;31.0;6.1;:0;
4.5;2.4;36.0;11.6;:1;
4.5;2.6;36.0;6.7;:0;
4.5;2.4;36.0;18.7;:1;
4.8;3.3;38.0;21.0;:0;
4.5;2.4;36.0;16.1;:1;
